filename,width,height,class,xmin,ymin,xmax,ymax
back_fisheye_image_0000.jpg,640,480,trashcan,275,86,352,233
back_fisheye_image_0001.jpg,640,480,trashcan,276,86,352,234
back_fisheye_image_0002.jpg,640,480,trashcan,275,86,353,234
back_fisheye_image_0003.jpg,640,480,trashcan,274,86,354,233
back_fisheye_image_0004.jpg,640,480,trashcan,275,86,356,234
back_fisheye_image_0005.jpg,640,480,trashcan,272,85,354,234
back_fisheye_image_0006.jpg,640,480,trashcan,271,85,354,232
back_fisheye_image_0007.jpg,640,480,trashcan,271,87,355,234
back_fisheye_image_0008.jpg,640,480,trashcan,271,85,352,233
back_fisheye_image_0009.jpg,640,480,trashcan,272,87,355,233
back_fisheye_image_0010.jpg,640,480,trashcan,274,85,354,234
back_fisheye_image_0011.jpg,640,480,trashcan,271,85,354,233
back_fisheye_image_0012.jpg,640,480,trashcan,273,85,357,234
back_fisheye_image_0013.jpg,640,480,trashcan,279,80,366,235
back_fisheye_image_0014.jpg,640,480,trashcan,266,81,348,234
back_fisheye_image_0015.jpg,640,480,trashcan,253,81,335,235
back_fisheye_image_0016.jpg,640,480,trashcan,235,82,318,233
back_fisheye_image_0018.jpg,640,480,trashcan,212,78,305,240
back_fisheye_image_0020.jpg,640,480,trashcan,276,77,358,238
back_fisheye_image_0021.jpg,640,480,trashcan,327,76,422,239
back_fisheye_image_0022.jpg,640,480,trashcan,304,72,397,245
back_fisheye_image_0023.jpg,640,480,trashcan,281,79,373,240
back_fisheye_image_0024.jpg,640,480,trashcan,286,76,376,245
back_fisheye_image_0025.jpg,640,480,trashcan,283,73,381,244
back_fisheye_image_0026.jpg,640,480,trashcan,282,72,374,242
back_fisheye_image_0027.jpg,640,480,trashcan,345,68,446,244
back_fisheye_image_0028.jpg,640,480,trashcan,325,67,414,244
back_fisheye_image_0029.jpg,640,480,trashcan,358,62,473,250
back_fisheye_image_0030.jpg,640,480,trashcan,383,52,513,254
back_fisheye_image_0031.jpg,640,480,trashcan,336,46,448,248
back_fisheye_image_0032.jpg,640,480,trashcan,248,52,363,248
back_fisheye_image_0033.jpg,640,480,trashcan,207,54,324,247
back_fisheye_image_0034.jpg,640,480,trashcan,327,60,438,253
back_fisheye_image_0035.jpg,640,480,trashcan,361,50,486,256
back_fisheye_image_0036.jpg,640,480,trashcan,327,57,440,250
back_fisheye_image_0037.jpg,640,480,trashcan,302,69,412,253
back_fisheye_image_0038.jpg,640,480,trashcan,416,60,551,252
back_fisheye_image_0039.jpg,640,480,trashcan,384,63,512,254
back_fisheye_image_0040.jpg,640,480,trashcan,351,61,467,250
back_fisheye_image_0041.jpg,640,480,trashcan,319,63,435,250
back_fisheye_image_0042.jpg,640,480,trashcan,297,69,409,250
back_fisheye_image_0043.jpg,640,480,trashcan,317,72,414,233
back_fisheye_image_0044.jpg,640,480,trashcan,319,65,417,230
back_fisheye_image_0045.jpg,640,480,trashcan,259,77,353,227
back_fisheye_image_0046.jpg,640,480,trashcan,298,80,385,241
back_fisheye_image_0047.jpg,640,480,trashcan,363,80,463,248
back_fisheye_image_0048.jpg,640,480,trashcan,389,64,507,254
back_fisheye_image_0049.jpg,640,480,trashcan,268,75,371,248
back_fisheye_image_0052.jpg,640,480,trashcan,227,81,328,249
back_fisheye_image_0053.jpg,640,480,trashcan,205,86,302,247
back_fisheye_image_0054.jpg,640,480,trashcan,178,81,287,244
back_fisheye_image_0055.jpg,640,480,trashcan,167,79,273,241
back_fisheye_image_0056.jpg,640,480,trashcan,297,76,388,241
back_fisheye_image_0057.jpg,640,480,trashcan,272,76,358,234
back_fisheye_image_0058.jpg,640,480,trashcan,310,79,405,239
back_fisheye_image_0059.jpg,640,480,trashcan,380,47,488,237
back_fisheye_image_0061.jpg,640,480,trashcan,245,64,352,244
back_fisheye_image_0062.jpg,640,480,trashcan,208,67,323,246
back_fisheye_image_0063.jpg,640,480,trashcan,178,66,293,251
back_fisheye_image_0065.jpg,640,480,trashcan,258,82,350,246
back_fisheye_image_0066.jpg,640,480,trashcan,313,76,403,236
back_fisheye_image_0067.jpg,640,480,trashcan,310,84,402,246
back_fisheye_image_0068.jpg,640,480,trashcan,287,76,377,241
back_fisheye_image_0069.jpg,640,480,trashcan,258,79,363,247
back_fisheye_image_0070.jpg,640,480,trashcan,270,77,362,241
back_fisheye_image_0073.jpg,640,480,trashcan,195,69,302,231
back_fisheye_image_0074.jpg,640,480,trashcan,170,84,280,247
back_fisheye_image_0075.jpg,640,480,trashcan,148,96,257,249
back_fisheye_image_0076.jpg,640,480,trashcan,203,92,303,246
back_fisheye_image_0077.jpg,640,480,trashcan,193,89,298,244
back_fisheye_image_0079.jpg,640,480,trashcan,153,87,252,239
back_fisheye_image_0080.jpg,640,480,trashcan,118,87,227,239
back_fisheye_image_0081.jpg,640,480,trashcan,153,92,253,236
back_fisheye_image_0082.jpg,640,480,trashcan,188,91,277,229
back_fisheye_image_0083.jpg,640,480,trashcan,168,97,258,229
back_fisheye_image_0084.jpg,640,480,trashcan,145,99,238,227
back_fisheye_image_0085.jpg,640,480,trashcan,270,104,343,224
back_fisheye_image_0086.jpg,640,480,trashcan,292,104,357,226
back_fisheye_image_0087.jpg,640,480,trashcan,272,104,335,224
back_fisheye_image_0089.jpg,640,480,trashcan,268,107,337,222
back_fisheye_image_0090.jpg,640,480,trashcan,297,116,373,234
