filename,width,height,class,xmin,ymin,xmax,ymax
back_fisheye_image_0005.jpg,640,480,trashcan_open,394,132,461,257
back_fisheye_image_0006.jpg,640,480,trashcan_open,307,135,363,247
back_fisheye_image_0007.jpg,640,480,trashcan_open,304,135,363,250
back_fisheye_image_0009.jpg,640,480,trashcan_open,301,133,361,248
back_fisheye_image_0010.jpg,640,480,trashcan_open,297,133,369,251
back_fisheye_image_0011.jpg,640,480,trashcan_open,299,133,369,252
back_fisheye_image_0013.jpg,640,480,trashcan_open,301,129,364,252
back_fisheye_image_0014.jpg,640,480,trashcan_open,302,129,364,250
back_fisheye_image_0015.jpg,640,480,trashcan_open,300,133,362,251
back_fisheye_image_0016.jpg,640,480,trashcan_open,301,131,364,255
back_fisheye_image_0017.jpg,640,480,trashcan_open,306,127,362,255
back_fisheye_image_0018.jpg,640,480,trashcan_open,303,135,363,248
back_fisheye_image_0020.jpg,640,480,trashcan_open,304,131,364,251
back_fisheye_image_0021.jpg,640,480,trashcan_open,300,133,362,249
back_fisheye_image_0022.jpg,640,480,trashcan_open,303,135,364,246
back_fisheye_image_0023.jpg,640,480,trashcan_open,307,139,359,243
back_fisheye_image_0025.jpg,640,480,trashcan_open,301,135,360,245
back_fisheye_image_0027.jpg,640,480,trashcan_open,263,129,316,242
back_fisheye_image_0028.jpg,640,480,trashcan_open,256,135,311,240
back_fisheye_image_0029.jpg,640,480,trashcan_open,360,128,414,241
back_fisheye_image_0030.jpg,640,480,trashcan_open,338,129,390,237
back_fisheye_image_0032.jpg,640,480,trashcan_open,288,132,340,239
back_fisheye_image_0033.jpg,640,480,trashcan_open,301,131,360,243
back_fisheye_image_0034.jpg,640,480,trashcan_open,291,135,351,240
back_fisheye_image_0035.jpg,640,480,trashcan_open,324,136,386,249
back_fisheye_image_0036.jpg,640,480,trashcan_open,326,137,392,249
back_fisheye_image_0037.jpg,640,480,trashcan_open,384,129,457,247
back_fisheye_image_0038.jpg,640,480,trashcan_open,341,130,414,245
back_fisheye_image_0039.jpg,640,480,trashcan_open,322,130,397,252
back_fisheye_image_0040.jpg,640,480,trashcan_open,321,129,400,250
back_fisheye_image_0041.jpg,640,480,trashcan_open,304,132,391,252
back_fisheye_image_0044.jpg,640,480,trashcan_open,290,131,381,256
back_fisheye_image_0046.jpg,640,480,trashcan_open,217,138,313,259
back_fisheye_image_0047.jpg,640,480,trashcan_open,181,135,279,260
back_fisheye_image_0048.jpg,640,480,trashcan_open,220,139,302,252
back_fisheye_image_0049.jpg,640,480,trashcan_open,242,135,324,252
back_fisheye_image_0050.jpg,640,480,trashcan_open,276,135,358,249
back_fisheye_image_0051.jpg,640,480,trashcan_open,269,136,347,251
back_fisheye_image_0052.jpg,640,480,trashcan_open,359,135,438,253
back_fisheye_image_0053.jpg,640,480,trashcan_open,339,133,416,257
back_fisheye_image_0054.jpg,640,480,trashcan_open,324,135,401,260
back_fisheye_image_0055.jpg,640,480,trashcan_open,328,137,408,261
back_fisheye_image_0057.jpg,640,480,trashcan_open,380,132,472,257
back_fisheye_image_0058.jpg,640,480,trashcan_open,396,130,487,269
back_fisheye_image_0059.jpg,640,480,trashcan_open,382,137,470,262
back_fisheye_image_0061.jpg,640,480,trashcan_open,383,130,482,280
back_fisheye_image_0062.jpg,640,480,trashcan_open,403,125,527,290
back_fisheye_image_0063.jpg,640,480,trashcan_open,450,123,589,315
back_fisheye_image_0064.jpg,640,480,trashcan_open,443,115,576,325
back_fisheye_image_0066.jpg,640,480,trashcan_open,331,112,423,317
back_fisheye_image_0067.jpg,640,480,trashcan_open,344,107,440,322
